Date,FinancialYear,GAG Period,GAG Year & Period,ID
2004-10-07 00:00:00,04-05,04,FY 04-05- P04,96
2004-10-08 00:00:00,04-05,04,FY 04-05- P04,97
2004-10-09 00:00:00,04-05,04,FY 04-05- P04,98
2004-10-10 00:00:00,04-05,04,FY 04-05- P04,99
2004-10-11 00:00:00,04-05,04,FY 04-05- P04,100
2004-10-12 00:00:00,04-05,04,FY 04-05- P04,101
2004-10-13 00:00:00,04-05,04,FY 04-05- P04,102
2004-10-14 00:00:00,04-05,04,FY 04-05- P04,103
2004-10-15 00:00:00,04-05,04,FY 04-05- P04,104
2004-10-16 00:00:00,04-05,04,FY 04-05- P04,105
2004-10-17 00:00:00,04-05,05,FY 04-05- P05,106
2004-10-18 00:00:00,04-05,05,FY 04-05- P05,107
2004-10-19 00:00:00,04-05,05,FY 04-05- P05,108
2004-10-20 00:00:00,04-05,05,FY 04-05- P05,109
2004-10-21 00:00:00,04-05,05,FY 04-05- P05,110
2004-10-22 00:00:00,04-05,05,FY 04-05- P05,111
2004-10-23 00:00:00,04-05,05,FY 04-05- P05,112
2004-10-24 00:00:00,04-05,05,FY 04-05- P05,113
2004-10-25 00:00:00,04-05,05,FY 04-05- P05,114
2004-10-26 00:00:00,04-05,05,FY 04-05- P05,115
2004-10-27 00:00:00,04-05,05,FY 04-05- P05,116
2004-10-28 00:00:00,04-05,05,FY 04-05- P05,117
2004-10-29 00:00:00,04-05,05,FY 04-05- P05,118
2004-10-30 00:00:00,04-05,05,FY 04-05- P05,119
2004-10-31 00:00:00,04-05,05,FY 04-05- P05,120
2004-11-01 00:00:00,04-05,05,FY 04-05- P05,121
2004-11-02 00:00:00,04-05,05,FY 04-05- P05,122
2004-11-03 00:00:00,04-05,05,FY 04-05- P05,123
2004-11-04 00:00:00,04-05,05,FY 04-05- P05,124
2004-11-05 00:00:00,04-05,05,FY 04-05- P05,125
2004-11-06 00:00:00,04-05,05,FY 04-05- P05,126
2004-11-07 00:00:00,04-05,05,FY 04-05- P05,127
2004-11-08 00:00:00,04-05,05,FY 04-05- P05,128
2004-11-09 00:00:00,04-05,05,FY 04-05- P05,129
2004-11-10 00:00:00,04-05,05,FY 04-05- P05,130
2004-11-11 00:00:00,04-05,05,FY 04-05- P05,131
2004-11-12 00:00:00,04-05,05,FY 04-05- P05,132
2004-11-13 00:00:00,04-05,05,FY 04-05- P05,133
2004-11-14 00:00:00,04-05,06,FY 04-05- P06,134
2004-11-15 00:00:00,04-05,06,FY 04-05- P06,135
2004-11-16 00:00:00,04-05,06,FY 04-05- P06,136
2004-11-17 00:00:00,04-05,06,FY 04-05- P06,137
2004-11-18 00:00:00,04-05,06,FY 04-05- P06,138
2004-11-19 00:00:00,04-05,06,FY 04-05- P06,139
2004-11-20 00:00:00,04-05,06,FY 04-05- P06,140
2004-11-21 00:00:00,04-05,06,FY 04-05- P06,141
2004-11-22 00:00:00,04-05,06,FY 04-05- P06,142
2004-11-23 00:00:00,04-05,06,FY 04-05- P06,143
2004-11-24 00:00:00,04-05,06,FY 04-05- P06,144
2004-11-25 00:00:00,04-05,06,FY 04-05- P06,145
2004-11-26 00:00:00,04-05,06,FY 04-05- P06,146
2004-11-27 00:00:00,04-05,06,FY 04-05- P06,147
2004-11-28 00:00:00,04-05,06,FY 04-05- P06,148
2004-11-29 00:00:00,04-05,06,FY 04-05- P06,149
2004-11-30 00:00:00,04-05,06,FY 04-05- P06,150
2004-12-01 00:00:00,04-05,06,FY 04-05- P06,151
2004-12-02 00:00:00,04-05,06,FY 04-05- P06,152
2004-12-03 00:00:00,04-05,06,FY 04-05- P06,153
2004-12-04 00:00:00,04-05,06,FY 04-05- P06,154
2004-12-05 00:00:00,04-05,06,FY 04-05- P06,155
2004-12-06 00:00:00,04-05,06,FY 04-05- P06,156
2004-12-07 00:00:00,04-05,06,FY 04-05- P06,157
2004-12-08 00:00:00,04-05,06,FY 04-05- P06,158
2004-12-09 00:00:00,04-05,06,FY 04-05- P06,159
2004-12-10 00:00:00,04-05,06,FY 04-05- P06,160
2004-12-11 00:00:00,04-05,06,FY 04-05- P06,161
2004-12-12 00:00:00,04-05,07,FY 04-05- P07,162
2004-12-13 00:00:00,04-05,07,FY 04-05- P07,163
2004-12-14 00:00:00,04-05,07,FY 04-05- P07,164
2004-12-15 00:00:00,04-05,07,FY 04-05- P07,165
2004-12-16 00:00:00,04-05,07,FY 04-05- P07,166
2004-12-17 00:00:00,04-05,07,FY 04-05- P07,167
2004-12-18 00:00:00,04-05,07,FY 04-05- P07,168
2004-12-19 00:00:00,04-05,07,FY 04-05- P07,169
2004-12-20 00:00:00,04-05,07,FY 04-05- P07,170
2004-12-21 00:00:00,04-05,07,FY 04-05- P07,171
2004-12-22 00:00:00,04-05,07,FY 04-05- P07,172
2004-12-23 00:00:00,04-05,07,FY 04-05- P07,173
2004-12-24 00:00:00,04-05,07,FY 04-05- P07,174
2004-12-25 00:00:00,04-05,07,FY 04-05- P07,175
2004-12-26 00:00:00,04-05,07,FY 04-05- P07,176
2004-12-27 00:00:00,04-05,07,FY 04-05- P07,177
2004-12-28 00:00:00,04-05,07,FY 04-05- P07,178
2004-12-29 00:00:00,04-05,07,FY 04-05- P07,179
2004-12-30 00:00:00,04-05,07,FY 04-05- P07,180
2004-12-31 00:00:00,04-05,07,FY 04-05- P07,181
2005-01-01 00:00:00,04-05,07,FY 04-05- P07,182
2005-01-02 00:00:00,04-05,07,FY 04-05- P07,183
2005-01-03 00:00:00,04-05,07,FY 04-05- P07,184
2005-01-04 00:00:00,04-05,07,FY 04-05- P07,185
2005-01-05 00:00:00,04-05,07,FY 04-05- P07,186
2005-01-06 00:00:00,04-05,07,FY 04-05- P07,187
2005-01-07 00:00:00,04-05,07,FY 04-05- P07,188
2005-01-08 00:00:00,04-05,07,FY 04-05- P07,189
2005-01-09 00:00:00,04-05,08,FY 04-05- P08,190
2005-01-10 00:00:00,04-05,08,FY 04-05- P08,191
2005-01-11 00:00:00,04-05,08,FY 04-05- P08,192
2005-01-12 00:00:00,04-05,08,FY 04-05- P08,193
2005-01-13 00:00:00,04-05,08,FY 04-05- P08,194
2005-01-14 00:00:00,04-05,08,FY 04-05- P08,195
2005-01-15 00:00:00,04-05,08,FY 04-05- P08,196
2005-01-16 00:00:00,04-05,08,FY 04-05- P08,197
2005-01-17 00:00:00,04-05,08,FY 04-05- P08,198
2005-01-18 00:00:00,04-05,08,FY 04-05- P08,199
2005-01-19 00:00:00,04-05,08,FY 04-05- P08,200
2005-01-20 00:00:00,04-05,08,FY 04-05- P08,201
2005-01-21 00:00:00,04-05,08,FY 04-05- P08,202
2005-01-22 00:00:00,04-05,08,FY 04-05- P08,203
2005-01-23 00:00:00,04-05,08,FY 04-05- P08,204
2005-01-24 00:00:00,04-05,08,FY 04-05- P08,205
2005-01-25 00:00:00,04-05,08,FY 04-05- P08,206
2005-01-26 00:00:00,04-05,08,FY 04-05- P08,207
2005-01-27 00:00:00,04-05,08,FY 04-05- P08,208
2005-01-28 00:00:00,04-05,08,FY 04-05- P08,209
2005-01-29 00:00:00,04-05,08,FY 04-05- P08,210
2005-01-30 00:00:00,04-05,08,FY 04-05- P08,211
2005-01-31 00:00:00,04-05,08,FY 04-05- P08,212
2005-02-01 00:00:00,04-05,08,FY 04-05- P08,213
2005-02-02 00:00:00,04-05,08,FY 04-05- P08,214
2005-02-03 00:00:00,04-05,08,FY 04-05- P08,215
2005-02-04 00:00:00,04-05,08,FY 04-05- P08,216
2005-02-05 00:00:00,04-05,08,FY 04-05- P08,217
2005-02-06 00:00:00,04-05,09,FY 04-05- P09,218
2005-02-07 00:00:00,04-05,09,FY 04-05- P09,219
2005-02-08 00:00:00,04-05,09,FY 04-05- P09,220
2005-02-09 00:00:00,04-05,09,FY 04-05- P09,221
2005-02-10 00:00:00,04-05,09,FY 04-05- P09,222
2005-02-11 00:00:00,04-05,09,FY 04-05- P09,223
2005-02-12 00:00:00,04-05,09,FY 04-05- P09,224
2005-02-13 00:00:00,04-05,09,FY 04-05- P09,225
2005-02-14 00:00:00,04-05,09,FY 04-05- P09,226
2005-02-15 00:00:00,04-05,09,FY 04-05- P09,227
2005-02-16 00:00:00,04-05,09,FY 04-05- P09,228
2005-02-17 00:00:00,04-05,09,FY 04-05- P09,229
2005-02-18 00:00:00,04-05,09,FY 04-05- P09,230
2005-02-19 00:00:00,04-05,09,FY 04-05- P09,231
2005-02-20 00:00:00,04-05,09,FY 04-05- P09,232
2005-02-21 00:00:00,04-05,09,FY 04-05- P09,233
2005-02-22 00:00:00,04-05,09,FY 04-05- P09,234
2005-02-23 00:00:00,04-05,09,FY 04-05- P09,235
2005-02-24 00:00:00,04-05,09,FY 04-05- P09,236
2005-02-25 00:00:00,04-05,09,FY 04-05- P09,237
2005-02-26 00:00:00,04-05,09,FY 04-05- P09,238
2005-02-27 00:00:00,04-05,09,FY 04-05- P09,239
2005-02-28 00:00:00,04-05,09,FY 04-05- P09,240
2005-03-01 00:00:00,04-05,09,FY 04-05- P09,241
2005-03-02 00:00:00,04-05,09,FY 04-05- P09,242
2005-03-03 00:00:00,04-05,09,FY 04-05- P09,243
2005-03-04 00:00:00,04-05,09,FY 04-05- P09,244
2005-03-05 00:00:00,04-05,09,FY 04-05- P09,245
2005-03-06 00:00:00,04-05,10,FY 04-05- P10,246
2005-03-07 00:00:00,04-05,10,FY 04-05- P10,247
2005-03-08 00:00:00,04-05,10,FY 04-05- P10,248
2005-03-09 00:00:00,04-05,10,FY 04-05- P10,249
2005-03-10 00:00:00,04-05,10,FY 04-05- P10,250
2005-03-11 00:00:00,04-05,10,FY 04-05- P10,251
2005-03-12 00:00:00,04-05,10,FY 04-05- P10,252
2005-03-13 00:00:00,04-05,10,FY 04-05- P10,253
2005-03-14 00:00:00,04-05,10,FY 04-05- P10,254
2005-03-15 00:00:00,04-05,10,FY 04-05- P10,255
2005-03-16 00:00:00,04-05,10,FY 04-05- P10,256
2005-03-17 00:00:00,04-05,10,FY 04-05- P10,257
2005-03-18 00:00:00,04-05,10,FY 04-05- P10,258
2005-03-19 00:00:00,04-05,10,FY 04-05- P10,259
2005-03-20 00:00:00,04-05,10,FY 04-05- P10,260
2005-03-21 00:00:00,04-05,10,FY 04-05- P10,261
2005-03-22 00:00:00,04-05,10,FY 04-05- P10,262
2005-03-23 00:00:00,04-05,10,FY 04-05- P10,263
2005-03-24 00:00:00,04-05,10,FY 04-05- P10,264
2005-03-25 00:00:00,04-05,10,FY 04-05- P10,265
2005-03-26 00:00:00,04-05,10,FY 04-05- P10,266
2005-03-27 00:00:00,04-05,10,FY 04-05- P10,267
2005-03-28 00:00:00,04-05,10,FY 04-05- P10,268
2005-03-29 00:00:00,04-05,10,FY 04-05- P10,269
2005-03-30 00:00:00,04-05,10,FY 04-05- P10,270
2005-03-31 00:00:00,04-05,10,FY 04-05- P10,271
2005-04-01 00:00:00,04-05,10,FY 04-05- P10,272
2005-04-02 00:00:00,04-05,10,FY 04-05- P10,273
2005-04-03 00:00:00,04-05,11,FY 04-05- P11,274
2005-04-04 00:00:00,04-05,11,FY 04-05- P11,275
2005-04-05 00:00:00,04-05,11,FY 04-05- P11,276
2005-04-06 00:00:00,04-05,11,FY 04-05- P11,277
2005-04-07 00:00:00,04-05,11,FY 04-05- P11,278
2005-04-08 00:00:00,04-05,11,FY 04-05- P11,279
2005-04-09 00:00:00,04-05,11,FY 04-05- P11,280
2005-04-10 00:00:00,04-05,11,FY 04-05- P11,281
2005-04-11 00:00:00,04-05,11,FY 04-05- P11,282
2005-04-12 00:00:00,04-05,11,FY 04-05- P11,283
2005-04-13 00:00:00,04-05,11,FY 04-05- P11,284
2005-04-14 00:00:00,04-05,11,FY 04-05- P11,285
2005-04-15 00:00:00,04-05,11,FY 04-05- P11,286
2005-04-16 00:00:00,04-05,11,FY 04-05- P11,287
2005-04-17 00:00:00,04-05,11,FY 04-05- P11,288
2005-04-18 00:00:00,04-05,11,FY 04-05- P11,289
2005-04-19 00:00:00,04-05,11,FY 04-05- P11,290
2005-04-20 00:00:00,04-05,11,FY 04-05- P11,291
2005-04-21 00:00:00,04-05,11,FY 04-05- P11,292
2005-04-22 00:00:00,04-05,11,FY 04-05- P11,293
2005-04-23 00:00:00,04-05,11,FY 04-05- P11,294
2005-04-24 00:00:00,04-05,11,FY 04-05- P11,295
2005-04-25 00:00:00,04-05,11,FY 04-05- P11,296
2005-04-26 00:00:00,04-05,11,FY 04-05- P11,297
2005-04-27 00:00:00,04-05,11,FY 04-05- P11,298
2005-04-28 00:00:00,04-05,11,FY 04-05- P11,299
2005-04-29 00:00:00,04-05,11,FY 04-05- P11,300
2005-04-30 00:00:00,04-05,11,FY 04-05- P11,301
2005-05-01 00:00:00,04-05,12,FY 04-05- P12,302
2005-05-02 00:00:00,04-05,12,FY 04-05- P12,303
2005-05-03 00:00:00,04-05,12,FY 04-05- P12,304
2005-05-04 00:00:00,04-05,12,FY 04-05- P12,305
2005-05-05 00:00:00,04-05,12,FY 04-05- P12,306
2005-05-06 00:00:00,04-05,12,FY 04-05- P12,307
2005-05-07 00:00:00,04-05,12,FY 04-05- P12,308
2005-05-08 00:00:00,04-05,12,FY 04-05- P12,309
2005-05-09 00:00:00,04-05,12,FY 04-05- P12,310
2005-05-10 00:00:00,04-05,12,FY 04-05- P12,311
2005-05-11 00:00:00,04-05,12,FY 04-05- P12,312
2005-05-12 00:00:00,04-05,12,FY 04-05- P12,313
2005-05-13 00:00:00,04-05,12,FY 04-05- P12,314
2005-05-14 00:00:00,04-05,12,FY 04-05- P12,315
2005-05-15 00:00:00,04-05,12,FY 04-05- P12,316
2005-05-16 00:00:00,04-05,12,FY 04-05- P12,317
2005-05-17 00:00:00,04-05,12,FY 04-05- P12,318
2005-05-18 00:00:00,04-05,12,FY 04-05- P12,319
2005-05-19 00:00:00,04-05,12,FY 04-05- P12,320
2005-05-20 00:00:00,04-05,12,FY 04-05- P12,321
2005-05-21 00:00:00,04-05,12,FY 04-05- P12,322
2005-05-22 00:00:00,04-05,12,FY 04-05- P12,323
2005-05-23 00:00:00,04-05,12,FY 04-05- P12,324
2005-05-24 00:00:00,04-05,12,FY 04-05- P12,325
2005-05-25 00:00:00,04-05,12,FY 04-05- P12,326
2005-05-26 00:00:00,04-05,12,FY 04-05- P12,327
2005-05-27 00:00:00,04-05,12,FY 04-05- P12,328
2005-05-28 00:00:00,04-05,12,FY 04-05- P12,329
2005-05-29 00:00:00,04-05,13,FY 04-05- P13,330
2005-05-30 00:00:00,04-05,13,FY 04-05- P13,331
2005-05-31 00:00:00,04-05,13,FY 04-05- P13,332
2005-06-01 00:00:00,04-05,13,FY 04-05- P13,333
2005-06-02 00:00:00,04-05,13,FY 04-05- P13,334
2005-06-03 00:00:00,04-05,13,FY 04-05- P13,335
2005-06-04 00:00:00,04-05,13,FY 04-05- P13,336
2005-06-05 00:00:00,04-05,13,FY 04-05- P13,337
2005-06-06 00:00:00,04-05,13,FY 04-05- P13,338
2005-06-07 00:00:00,04-05,13,FY 04-05- P13,339
2005-06-08 00:00:00,04-05,13,FY 04-05- P13,340
2005-06-09 00:00:00,04-05,13,FY 04-05- P13,341
2005-06-10 00:00:00,04-05,13,FY 04-05- P13,342
2005-06-11 00:00:00,04-05,13,FY 04-05- P13,343
2005-06-12 00:00:00,04-05,13,FY 04-05- P13,344
2005-06-13 00:00:00,04-05,13,FY 04-05- P13,345
2005-06-14 00:00:00,04-05,13,FY 04-05- P13,346
2005-06-15 00:00:00,04-05,13,FY 04-05- P13,347
2005-06-16 00:00:00,04-05,13,FY 04-05- P13,348
2005-06-17 00:00:00,04-05,13,FY 04-05- P13,349
2005-06-18 00:00:00,04-05,13,FY 04-05- P13,350
2005-06-19 00:00:00,04-05,13,FY 04-05- P13,351
2005-06-20 00:00:00,04-05,13,FY 04-05- P13,352
2005-06-21 00:00:00,04-05,13,FY 04-05- P13,353
2005-06-22 00:00:00,04-05,13,FY 04-05- P13,354
2005-06-23 00:00:00,04-05,13,FY 04-05- P13,355
2005-06-24 00:00:00,04-05,13,FY 04-05- P13,356
2005-06-25 00:00:00,04-05,13,FY 04-05- P13,357
2005-06-26 00:00:00,04-05,13,FY 04-05- P13,358
2005-06-27 00:00:00,04-05,13,FY 04-05- P13,359
2005-06-28 00:00:00,04-05,13,FY 04-05- P13,360
2005-06-29 00:00:00,04-05,13,FY 04-05- P13,361
2005-06-30 00:00:00,04-05,13,FY 04-05- P13,362
2005-07-01 00:00:00,04-05,13,FY 04-05- P13,363
2005-07-02 00:00:00,04-05,13,FY 04-05- P13,364
2005-07-03 00:00:00,05-06,01,FY 05-06- P01,365
2005-07-04 00:00:00,05-06,01,FY 05-06- P01,366
2005-07-05 00:00:00,05-06,01,FY 05-06- P01,367
2005-07-06 00:00:00,05-06,01,FY 05-06- P01,368
2005-07-07 00:00:00,05-06,01,FY 05-06- P01,369
2005-07-08 00:00:00,05-06,01,FY 05-06- P01,370
2005-07-09 00:00:00,05-06,01,FY 05-06- P01,371
2005-07-10 00:00:00,05-06,01,FY 05-06- P01,372
2005-07-11 00:00:00,05-06,01,FY 05-06- P01,373
2005-07-12 00:00:00,05-06,01,FY 05-06- P01,374
2005-07-13 00:00:00,05-06,01,FY 05-06- P01,375
2005-07-14 00:00:00,05-06,01,FY 05-06- P01,376
2005-07-15 00:00:00,05-06,01,FY 05-06- P01,377
2005-07-16 00:00:00,05-06,01,FY 05-06- P01,378
2005-07-17 00:00:00,05-06,01,FY 05-06- P01,379
2005-07-18 00:00:00,05-06,01,FY 05-06- P01,380
2005-07-19 00:00:00,05-06,01,FY 05-06- P01,381
2005-07-20 00:00:00,05-06,01,FY 05-06- P01,382
2005-07-21 00:00:00,05-06,01,FY 05-06- P01,383
2005-07-22 00:00:00,05-06,01,FY 05-06- P01,384
2005-07-23 00:00:00,05-06,01,FY 05-06- P01,385
2005-07-24 00:00:00,05-06,02,FY 05-06- P02,386
2005-07-25 00:00:00,05-06,02,FY 05-06- P02,387
2005-07-26 00:00:00,05-06,02,FY 05-06- P02,388
2005-07-27 00:00:00,05-06,02,FY 05-06- P02,389
2005-07-28 00:00:00,05-06,02,FY 05-06- P02,390
2005-07-29 00:00:00,05-06,02,FY 05-06- P02,391
2005-07-30 00:00:00,05-06,02,FY 05-06- P02,392
2005-07-31 00:00:00,05-06,02,FY 05-06- P02,393
2005-08-01 00:00:00,05-06,02,FY 05-06- P02,394
2005-08-02 00:00:00,05-06,02,FY 05-06- P02,395
2005-08-03 00:00:00,05-06,02,FY 05-06- P02,396
2005-08-04 00:00:00,05-06,02,FY 05-06- P02,397
2005-08-05 00:00:00,05-06,02,FY 05-06- P02,398
2005-08-06 00:00:00,05-06,02,FY 05-06- P02,399
2005-08-07 00:00:00,05-06,02,FY 05-06- P02,400
2005-08-08 00:00:00,05-06,02,FY 05-06- P02,401
2005-08-09 00:00:00,05-06,02,FY 05-06- P02,402
2005-08-10 00:00:00,05-06,02,FY 05-06- P02,403
2005-08-11 00:00:00,05-06,02,FY 05-06- P02,404
2005-08-12 00:00:00,05-06,02,FY 05-06- P02,405
2005-08-13 00:00:00,05-06,02,FY 05-06- P02,406
2005-08-14 00:00:00,05-06,02,FY 05-06- P02,407
2005-08-15 00:00:00,05-06,02,FY 05-06- P02,408
2005-08-16 00:00:00,05-06,02,FY 05-06- P02,409
2005-08-17 00:00:00,05-06,02,FY 05-06- P02,410
2005-08-18 00:00:00,05-06,02,FY 05-06- P02,411
2005-08-19 00:00:00,05-06,02,FY 05-06- P02,412
2005-08-20 00:00:00,05-06,02,FY 05-06- P02,413
2005-08-21 00:00:00,05-06,03,FY 05-06- P03,414
2005-08-22 00:00:00,05-06,03,FY 05-06- P03,415
2005-08-23 00:00:00,05-06,03,FY 05-06- P03,416
2005-08-24 00:00:00,05-06,03,FY 05-06- P03,417
2005-08-25 00:00:00,05-06,03,FY 05-06- P03,418
2005-08-26 00:00:00,05-06,03,FY 05-06- P03,419
2005-08-27 00:00:00,05-06,03,FY 05-06- P03,420
2005-08-28 00:00:00,05-06,03,FY 05-06- P03,421
2005-08-29 00:00:00,05-06,03,FY 05-06- P03,422
2005-08-30 00:00:00,05-06,03,FY 05-06- P03,423
2005-08-31 00:00:00,05-06,03,FY 05-06- P03,424
2005-09-01 00:00:00,05-06,03,FY 05-06- P03,425
2005-09-02 00:00:00,05-06,03,FY 05-06- P03,426
2005-09-03 00:00:00,05-06,03,FY 05-06- P03,427
2005-09-04 00:00:00,05-06,03,FY 05-06- P03,428
2005-09-05 00:00:00,05-06,03,FY 05-06- P03,429
2005-09-06 00:00:00,05-06,03,FY 05-06- P03,430
2005-09-07 00:00:00,05-06,03,FY 05-06- P03,431
2005-09-08 00:00:00,05-06,03,FY 05-06- P03,432
2005-09-09 00:00:00,05-06,03,FY 05-06- P03,433
2005-09-10 00:00:00,05-06,03,FY 05-06- P03,434
2005-09-11 00:00:00,05-06,03,FY 05-06- P03,435
2005-09-12 00:00:00,05-06,03,FY 05-06- P03,436
2005-09-13 00:00:00,05-06,03,FY 05-06- P03,437
2005-09-14 00:00:00,05-06,03,FY 05-06- P03,438
2005-09-15 00:00:00,05-06,03,FY 05-06- P03,439
2005-09-16 00:00:00,05-06,03,FY 05-06- P03,440
2005-09-17 00:00:00,05-06,03,FY 05-06- P03,441
2005-09-18 00:00:00,05-06,04,FY 05-06- P04,442
2005-09-19 00:00:00,05-06,04,FY 05-06- P04,443
2005-09-20 00:00:00,05-06,04,FY 05-06- P04,444
2005-09-21 00:00:00,05-06,04,FY 05-06- P04,445
2005-09-22 00:00:00,05-06,04,FY 05-06- P04,446
2005-09-23 00:00:00,05-06,04,FY 05-06- P04,447
2005-09-24 00:00:00,05-06,04,FY 05-06- P04,448
2005-09-25 00:00:00,05-06,04,FY 05-06- P04,449
